Grade,MI Baseline,MI Follow Up 1,MI Follow Up 2,RI Baseline,RI Follow Up 1,RI Follow Up 2,MI Imp 1 to 2,MI Imp 1 to 3,RI Imp 1 to 2,RI Imp 1 to 3
8,,,,443,335,158,,,-108,-285
8,,,,903,,844,,,,-59
8,,,,821,962,799,,,141,-22
8,495,320,480,279,,,-175,-15,,
8,,,,639,719,816,,,80,177
8,415,385,455,,,,-30,40,,
8,,,,942,,934,,,,-8
8,490,810,895,,,,320,405,,
8,,,,574,703,720,,,129,146
8,250,255,200,451,,,5,-50,,
6,,,,161,0,263,,,-161,102
6,365,,,385,659,839,,,274,454
6,,,,572,622,784,,,50,212
6,270,470,650,,,,200,380,,
6,250,160,360,,,,-90,110,,
6,360,570,570,,,,210,210,,
6,245,295,400,,,,50,155,,
6,,,,849,1008,1027,,,159,178
6,260,285,410,,,,25,150,,
6,195,380,370,152,,,185,175,,
6,,,,741,766,719,,,25,-22
6,,,,566,792,688,,,226,122
6,,,,365,413,772,,,48,407
6,210,25,325,225,,,-185,115,,
6,,,,481,475,757,,,-6,276
6,410,190,120,572,,,-220,-290,,
8,,,,716,752,549,,,36,-167
6,380,,310,,,,,-70,,
8,,,,640,650,402,,,10,-238
6,-40,135,-95,153,,,175,-55,,
6,565,550,615,,,,-15,50,,
8,,,,774,823,637,,,49,-137
6,325,600,160,39,,,275,-165,,
6,200,365,65,409,,,165,-135,,
8,,,,810,775,749,,,-35,-61
8,,,,808,874,650,,,66,-158
6,555,,610,763,,,,55,,
8,,,,703,797,829,,,94,126
8,,,,782,748,839,,,-34,57
6,375,570,230,,,,195,-145,,
8,,,,783,778,821,,,-5,38
8,,,,443,511,573,,,68,130
6,305,420,375,,,,115,70,,
6,565,820,395,,,,255,-170,,
6,280,555,440,,,,275,160,,
6,205,480,170,,,,275,-35,,
8,,,,613,616,521,,,3,-92
8,,,,549,565,612,,,16,63
6,,,,352,462,604,,,110,252
6,,,,711,,734,,,,23
6,,,,362,,394,,,,32
6,,,,416,419,,,,3,
6,295,265,245,742,,,-30,-50,,
6,375,390,475,805,,,15,100,,
6,,,,343,390,534,,,47,191
6,620,440,685,797,,,-180,65,,
6,395,230,520,763,,,-165,125,,
6,125,80,350,353,,,-45,225,,
3,250,215,,210,,,-35,,,
3,50,410,,0,,,360,,,
3,175,,,0,139,,,,139,
3,290,,,0,0,,,,0,
3,560,,,68,141,,,,73,
3,280,,,0,361,,,,361,
3,215,220,,0,0,,5,,0,
3,315,275,,0,,,-40,,,
3,415,45,,0,,,-370,,,
3,485,,,0,413,,,,413,
3,330,275,,337,,,-55,,,
4,635,,,490,604,775,,,114,285
4,410,320,600,760,,,-90,190,,
4,625,820,960,647,,,195,335,,
4,560,885,695,795,,,325,135,,
4,505,625,665,586,,,120,160,,
4,330,660,965,0,,,330,635,,
4,445,,,518,703,749,,,185,231
4,490,,,414,681,649,,,267,235
4,490,,,286,393,489,,,107,203
4,295,215,730,186,,,-80,435,,
4,95,,,478,517,582,,,39,104
5,270,,,527,586,641,,,59,114
5,500,,,400,585,717,,,185,317
5,360,,,238,318,396,,,80,158
5,10,180,260,231,,,170,250,,
5,155,95,135,0,,,-60,-20,,
5,225,,,115,362,394,,,247,279
5,335,,,272,408,421,,,136,149
5,510,605,430,316,,,95,-80,,
5,385,40,345,448,,,-345,-40,,
5,235,,,127,280,373,,,153,246
5,45,345,290,343,,,300,245,,
3,435,,,285,426,463,,,141,178
3,430,,,157,343,268,,,186,111
3,385,345,605,0,,,-40,220,,
3,390,430,675,498,,,40,285,,
4,475,,,533,666,697,,,133,164
4,585,,,540,556,698,,,16,158
4,345,270,660,546,,,-75,315,,
4,730,,,693,741,775,,,48,82
4,255,,,0,86,317,,,86,317
4,340,285,580,276,,,-55,240,,
4,450,,,195,489,590,,,294,395
4,420,475,720,422,,,55,300,,
4,295,265,455,399,,,-30,160,,
4,480,,,690,615,,,,-75,
4,190,240,290,0,,,50,100,,
3,300,300,395,39,,,0,95,,
3,120,,,0,0,0,,,0,0
3,205,,,91,173,241,,,82,150
3,145,285,605,0,,,140,460,,
3,210,310,570,327,,,100,360,,
3,315,45,280,0,,,-270,-35,,
3,40,70,,167,0,388,30,,-167,221
3,125,,,0,0,155,,,0,155
3,330,,,99,157,462,,,58,363
3,-115,,,0,0,0,,,0,0
3,270,225,425,0,,,-45,155,,
5,435,,,256,299,423,,,43,167
5,540,,,534,565,606,,,31,72
5,500,560,670,800,,,60,170,,
5,630,,,887,590,723,,,-297,-164
5,635,,,584,612,765,,,28,181
5,335,340,365,0,,,5,30,,
5,410,,,196,366,370,,,170,174
5,450,,,413,517,565,,,104,152
5,390,685,525,373,,,295,135,,
5,285,300,335,281,,,15,50,,
5,530,580,740,502,,,50,210,,
3,,,,218,242,,,,24,
3,205,210,,0,,,5,,,
5,270,,,346,340,401,,,-6,55
5,140,,,248,360,356,,,112,108
5,-105,180,5,0,,,285,110,,
5,-10,,,157,151,110,,,-6,-47
5,240,255,240,0,,,15,0,,
5,335,305,375,132,,,-30,40,,
5,450,625,850,546,,,175,400,,
5,330,,,360,484,550,,,124,190
5,530,,,553,647,699,,,94,146
5,270,,,170,420,566,,,250,396
5,300,295,280,0,,,-5,-20,,
5,640,650,735,761,,,10,95,,
5,445,520,925,571,,,75,480,,
5,395,405,510,53,,,10,115,,
5,620,,,0,459,605,,,459,605
5,670,815,850,713,,,145,180,,
5,555,,,0,241,361,,,241,361
5,425,,,608,702,771,,,94,163
5,640,780,835,510,,,140,195,,
5,610,,,732,837,900,,,105,168
5,655,,,545,698,856,,,153,311
5,240,605,895,544,,,365,655,,
4,170,,,287,406,581,,,119,294
4,380,285,320,429,,,-95,-60,,
4,-45,,,0,0,0,,,0,0
4,320,265,730,0,,,-55,410,,
4,150,295,260,0,,,145,110,,
4,390,265,690,0,,,-125,300,,
4,360,445,540,390,,,85,180,,
4,215,,,371,271,376,,,-100,5
4,45,,,97,102,144,,,5,47
4,200,,,322,259,418,,,-63,96
4,-85,,,0,0,178,,,0,178
3,290,385,750,13,,,95,460,,
3,280,290,280,0,,,10,0,,
3,235,,,0,0,113,,,0,113
3,300,,,407,308,441,,,-99,34
3,325,305,475,422,,,-20,150,,
3,475,,,188,656,727,,,468,539
3,280,,,33,376,627,,,343,594
3,295,,,370,491,536,,,121,166
3,295,405,590,506,,,110,295,,
3,475,,,193,314,455,,,121,262
3,300,225,915,5,,,-75,615,,
3,470,,,407,614,664,,,207,257
3,505,,,166,387,447,,,221,281
3,70,190,525,0,,,120,455,,
3,270,495,715,318,,,225,445,,
3,55,400,115,531,,,345,60,,
3,365,295,460,523,,,-70,95,,
3,460,,,334,490,599,,,156,265
3,-30,,,0,0,0,,,0,0
3,235,480,310,409,,,245,75,,
3,,,,0,0,0,,,0,0
5,435,,,768,747,802,,,-21,34
5,285,565,805,616,,,280,520,,
5,70,,,504,499,589,,,-5,85
5,615,,,768,750,894,,,-18,126
5,-85,770,640,679,,,855,725,,
5,400,755,770,555,505,,355,370,-50,
5,-85,,,470,365,744,,,-105,274
5,270,270,360,258,,,0,90,,
5,285,360,345,675,,,75,60,,
5,395,,,507,476,522,,,-31,15
5,320,,,568,661,805,,,93,237
4,465,,,724,786,835,,,62,111
4,250,,,239,493,589,,,254,350
4,395,360,515,599,,,-35,120,,
4,320,335,685,379,,,15,365,,
4,465,,,663,720,785,,,57,122
7,,,,254,378,,,,124,
8,,,,499,613,,,,114,
6,,,,397,534,,,,137,
7,,,,666,465,,,,-201,
8,385,735,,,,,350,,,
7,,,,373,553,,,,180,
8,510,730,,,,,220,,,
6,320,435,,,,,115,,,
6,,,,369,,0,,,,-369
6,,,,477,547,,,,70,
7,635,635,,,,,0,,,
7,540,,850,,,,,310,,
7,,,,873,1115,1186,,,242,313
7,630,895,1000,,,,265,370,,
7,,,,978,,995,,,,17
7,220,280,560,,,,60,340,,
7,635,790,925,,,,155,290,,
7,710,,920,,,,,210,,
7,,,,810,1079,1055,,,269,245
7,,,,648,802,900,,,154,252
7,550,600,585,,,,50,35,,
7,585,600,1085,,,,15,500,,
7,725,870,1075,,,,145,350,,
7,,,,789,977,1007,,,188,218
7,735,975,1105,,,,240,370,,
7,,,,857,805,919,,,-52,62
7,,,,179,430,738,,,251,559
7,,,,859,971,1016,,,112,157
7,285,525,435,,,,240,150,,
7,535,740,1075,,,,205,540,,
7,,,,565,501,628,,,-64,63
7,,,,949,,853,,,,-96
7,,,,554,757,827,,,203,273
7,,,,615,706,784,,,91,169
7,,,,437,519,526,,,82,89
7,740,730,985,,,,-10,245,,
7,745,865,775,,,,120,30,,
7,755,840,895,,,,85,140,,
7,,,,635,671,789,,,36,154
7,610,715,730,,,,105,120,,
6,,,,862,774,793,,,-88,-69
6,350,455,1065,,,,105,715,,
6,250,585,905,,,,335,655,,
6,,,,453,404,539,,,-49,86
6,,,,831,528,654,,,-303,-177
6,,,,282,423,491,,,141,209
6,,,,909,,939,,,,30
6,165,215,515,,,,50,350,,
6,325,385,945,,,,60,620,,
6,,,,299,535,639,,,236,340
8,570,935,830,,,,365,260,,
8,,,,360,484,543,,,124,183
7,,,,572,753,734,,,181,162
8,,,,392,492,586,,,100,194
8,680,835,590,,,,155,-90,,
8,,,,618,614,633,,,-4,15
8,,,,267,530,776,,,263,509
8,,,,563,485,404,,,-78,-159
8,750,745,805,677,,,-5,55,,
8,,,,745,726,907,,,-19,162
8,570,690,795,718,,,120,225,,
8,260,695,640,667,,,435,380,,
8,,,,576,650,722,,,74,146
8,,,,518,447,549,,,-71,31
8,,,,677,822,799,,,145,122
8,615,,775,,,,,160,,
8,,,,974,1005,1132,,,31,158
8,,,,459,467,517,,,8,58
8,,,,378,328,516,,,-50,138
8,325,,825,,,,,500,,
8,750,705,500,,,,-45,-250,,
8,430,370,395,,,,-60,-35,,
8,,,,379,526,519,,,147,140
6,660,685,810,,,,25,150,,
6,170,345,935,,,,175,765,,
6,,,,666,593,634,,,-73,-32
6,470,570,860,,,,100,390,,
6,765,380,755,,,,-385,-10,,
6,,,,767,,829,,,,62
6,,,,843,,777,,,,-66
6,,,,608,639,807,,,31,199
6,265,325,235,,,,60,-30,,
6,325,,585,,,,,260,,
6,,,,309,329,193,,,20,-116
6,695,655,620,648,,,-40,-75,,
6,,,,163,261,424,,,98,261
6,,,,126,323,340,,,197,214
6,,,,450,404,516,,,-46,66
6,285,385,380,594,,,100,95,,
6,475,445,715,455,,,-30,240,,
6,445,540,705,,,,95,260,,
6,215,200,700,0,,,-15,485,,
6,,,,621,826,946,,,205,325
7,570,835,,,,,265,,,
7,,,,341,458,,,,117,
7,730,715,,758,,,-15,,,
7,,,,680,699,,,,19,
7,745,565,,,,,-180,,,
7,390,640,,,,,250,,,
7,,,,878,866,,,,-12,
8,,,,755,,742,,,,-13
7,310,645,,468,,,335,,,
7,,,,934,851,,,,-83,
8,,,,204,,592,,,,388
8,425,315,,801,,,-110,,,
8,,,,358,,628,,,,270
7,,,,392,465,659,,,73,267
8,,,,584,,529,,,,-55
7,725,765,,,,,40,,,
7,,,,563,721,,,,158,
8,,,,0,,449,,,,449
7,,,,0,439,,,,439,
7,300,560,500,,,,260,200,,
7,,,,224,195,529,,,-29,305
7,,,,716,857,753,,,141,37
7,,,,626,850,856,,,224,230
7,495,,505,556,,,,10,,
7,,,,799,890,602,,,91,-197
7,755,,390,480,,,,-365,,
7,,,,804,726,728,,,-78,-76
7,125,200,390,245,,,75,265,,
7,640,195,560,451,,,-445,-80,,
7,,,,756,641,814,,,-115,58
8,545,830,890,565,,,285,345,,
8,,,,632,690,747,,,58,115
8,785,885,810,,,,100,25,,
8,,,,747,632,705,,,-115,-42
8,,,,591,625,619,,,34,28
7,,,,573,524,543,,,-49,-30
7,,,,544,670,1054,,,126,510
7,260,550,585,,,,290,325,,
7,465,475,565,,,,10,100,,
7,485,670,710,,,,185,225,,
7,,,,614,725,839,,,111,225
7,525,530,725,838,,,5,200,,
7,610,570,700,,,,-40,90,,
7,,,,722,648,792,,,-74,70
7,,,,613,650,351,,,37,-262
7,,,,829,888,927,,,59,98
7,260,240,445,,,,-20,185,,
7,,,,159,0,0,,,-159,-159
7,565,600,215,,,,35,-350,,
7,,,,220,368,744,,,148,524
7,,,,744,705,861,,,-39,117
7,360,395,525,,,,35,165,,
7,,,,906,898,854,,,-8,-52
7,505,850,740,,,,345,235,,
7,,,,832,876,946,,,44,114
7,520,605,805,,,,85,285,,
7,,,,418,559,480,,,141,62
8,,,,726,786,846,,,60,120
8,,,,588,529,782,,,-59,194
8,,,,255,205,366,,,-50,111
8,570,515,450,771,,,-55,-120,,
8,595,515,475,792,,,-80,-120,,
8,855,500,730,,,,-355,-125,,
8,485,835,755,703,,,350,270,,
8,,,,443,625,819,,,182,376
8,,,,675,739,852,,,64,177
8,,,,707,639,803,,,-68,96
7,390,510,765,,,,120,375,,
7,,,,751,549,458,,,-202,-293
7,575,890,915,,,,315,340,,
7,,,,505,613,462,,,108,-43
7,,,,256,168,314,,,-88,58
7,85,370,435,469,,,285,350,,
7,,,,268,429,574,,,161,306
7,685,680,730,,,,-5,45,,
7,,,,755,806,802,,,51,47
7,705,495,580,,,,-210,-125,,
7,,,,51,221,517,,,170,466
7,790,615,900,,,,-175,110,,
7,,,,842,967,977,,,125,135
7,,,,489,704,669,,,215,180
7,760,715,855,,,,-45,95,,
7,625,780,960,,,,155,335,,
7,,,,912,892,848,,,-20,-64
7,,,,198,,398,,,,200
7,520,635,730,,,,115,210,,
7,,,,766,781,884,,,15,118
7,555,765,485,,,,210,-70,,
7,,,,856,927,865,,,71,9
8,,,,864,1207,1274,,,343,410
8,490,245,210,506,,,-245,-280,,
8,400,55,300,254,,,-345,-100,,
8,515,675,750,,,,160,235,,
8,,,,773,746,829,,,-27,56
8,455,605,730,,,,150,275,,
8,,,,790,901,882,,,111,92
8,395,55,95,570,,,-340,-300,,
8,,,,886,941,932,,,55,46
8,565,,475,398,,,,-90,,
8,,,,410,509,574,,,99,164
9,,,,537,,524,,,,-13
9,730,600,,586,,,-130,,,
9,,,,953,1137,,,,184,
9,,,,668,773,,,,105,
9,,,,866,817,,,,-49,
9,,,,1028,1064,,,,36,
10,610,565,,,,,-45,,,
10,,,,929,956,,,,27,
9,,,,658,552,,,,-106,
9,,,,959,1132,,,,173,
9,930,865,,,,,-65,,,
9,240,600,,,,,360,,,
9,,,,883,830,,,,-53,
9,300,510,,,,,210,,,
9,390,530,,,,,140,,,
9,525,405,,,,,-120,,,
9,,,,760,805,,,,45,
10,,,,956,1063,1146,,,107,190
10,845,870,1205,,,,25,360,,
10,,,,926,942,993,,,16,67
10,,,,935,822,1169,,,-113,234
10,,,,527,808,813,,,281,286
10,735,565,995,748,,,-170,260,,
10,720,925,1180,,,,205,460,,
10,,,,703,631,754,,,-72,51
10,800,930,1020,,,,130,220,,
10,600,600,680,,,,0,80,,
9,455,560,885,596,,,105,430,,
9,,,,617,672,739,,,55,122
9,550,685,795,,,,135,245,,
9,635,940,1025,,,,305,390,,
9,,,,934,869,939,,,-65,5
9,,,,733,797,830,,,64,97
9,580,435,710,,,,-145,130,,
9,845,925,1055,,,,80,210,,
9,,,,804,848,845,,,44,41
9,,,,984,1179,1127,,,195,143
9,,,,850,1004,1032,,,154,182
10,,,,893,911,947,,,18,54
10,980,895,955,,,,-85,-25,,
10,,,,923,880,792,,,-43,-131
10,,,,1000,958,978,,,-42,-22
10,540,320,735,,,,-220,195,,
10,,,,672,593,679,,,-79,7
10,810,310,570,,,,-500,-240,,
10,660,915,1095,,,,255,435,,
10,755,815,775,,,,60,20,,
10,,,,784,718,862,,,-66,78
10,,,,811,863,917,,,52,106
10,930,1155,1015,,,,225,85,,
10,,,,972,1155,1188,,,183,216
10,,,,884,924,938,,,40,54
10,690,905,925,,,,215,235,,
9,730,860,765,,,,130,35,,
9,,,,465,499,528,,,34,63
9,,,,752,771,802,,,19,50
9,,,,549,524,540,,,-25,-9
9,,,,659,725,692,,,66,33
9,285,480,485,,,,195,200,,
9,,,,759,,879,,,,120
9,810,765,745,,,,-45,-65,,
9,795,295,265,327,,,-500,-530,,
9,325,435,720,,,,110,395,,
10,795,790,605,,,,-5,-190,,
10,,,,884,802,,,,-82,
10,615,,680,,,,,65,,
10,,,,496,477,506,,,-19,10
10,575,515,675,804,,,-60,100,,
10,300,,,634,487,601,,,-147,-33
10,920,1075,810,,,,155,-110,,
10,,,,729,675,896,,,-54,167
10,440,360,240,796,,,-80,-200,,
10,,,,687,419,603,,,-268,-84
10,,,,951,753,880,,,-198,-71
9,,,,548,641,833,,,93,285
9,,,,526,548,619,,,22,93
9,835,575,720,,,,-260,-115,,
9,,,,664,657,747,,,-7,83
9,605,425,510,,,,-180,-95,,
9,565,675,615,,,,110,50,,
9,,,,796,941,1020,,,145,224
9,455,520,710,,,,65,255,,
9,540,690,505,,,,150,-35,,
9,,,,852,941,1001,,,89,149
9,745,,670,,,,,-75,,
9,,,,906,909,,,,3,
9,,,,750,726,816,,,-24,66
9,,,,1035,1087,1109,,,52,74
9,590,675,440,,,,85,-150,,
9,,,,981,831,782,,,-150,-199
9,305,425,475,,,,120,170,,
9,,,,796,751,835,,,-45,39
10,725,,565,1229,,,,-160,,
10,765,520,640,,,,-245,-125,,
10,650,590,605,,,,-60,-45,,
10,840,945,800,,,,105,-40,,
10,,,,955,887,896,,,-68,-59
10,,,,787,989,978,,,202,191
10,,,,744,991,981,,,247,237
10,920,880,750,,,,-40,-170,,
10,,,,967,1035,1044,,,68,77
9,,,,1015,,1251,,,,236
8,,,,369,,807,,,,438
8,540,450,,,,,-90,,,
7,,,,623,,668,,,,45
7,,,,840,,904,,,,64
8,,,,835,821,846,,,-14,11
7,,,,789,,695,,,,-94
7,780,705,,,,,-75,,,
8,,,,813,,853,,,,40
8,,,,875,,971,,,,96
8,,,,732,,866,,,,134
8,,,,771,,910,,,,139
6,,,,637,567,513,,,-70,-124
7,635,,645,,,,,10,,
7,415,,290,,,,,-125,,
7,445,,485,,,,,40,,
7,,,,495,,544,,,,49
7,,,,625,,809,,,,184
7,375,,665,,,,,290,,
7,540,,585,,,,,45,,
7,,,,495,,514,,,,19
6,770,570,860,333,,,-200,90,,
6,290,325,490,554,,,35,200,,
6,,,,389,381,725,,,-8,336
6,,,,669,592,691,,,-77,22
6,,,,773,752,778,,,-21,5
6,,,,650,685,804,,,35,154
6,,,,246,353,694,,,107,448
6,320,265,370,313,,,-55,50,,
6,195,505,235,547,,,310,40,,
6,180,290,405,719,,,110,225,,
6,,,,498,586,641,,,88,143
6,,,,533,487,573,,,-46,40
6,,,,377,301,292,,,-76,-85
6,,,,230,219,326,,,-11,96
6,-40,180,210,0,,,220,250,,
6,760,730,585,784,,,-30,-175,,
6,165,405,210,460,,,240,45,,
6,615,865,700,311,,,250,85,,
6,,,,149,271,551,,,122,402
6,,,,666,620,693,,,-46,27
6,,,,491,516,630,,,25,139
6,255,425,505,226,,,170,250,,
8,,,,668,622,512,,,-46,-156
8,810,,,836,,887,,,,51
8,535,,415,233,,955,,-120,,722
8,395,,360,786,,,,-35,,
8,,,,398,491,683,,,93,285
8,285,275,510,672,,,-10,225,,
8,,,,601,880,1173,,,279,572
8,,,,440,546,749,,,106,309
8,325,,30,761,,,,-295,,
8,215,,550,819,,,,335,,
8,620,780,310,459,,,160,-310,,
8,,,,424,475,617,,,51,193
8,725,825,,827,,,100,,,
8,,,,265,238,349,,,-27,84
8,,,,530,619,556,,,89,26
7,,,,613,627,833,,,14,220
7,285,480,300,573,,,195,15,,
7,,,,631,674,764,,,43,133
7,,,,0,,0,,,,0
7,520,425,420,423,,,-95,-100,,
7,,,,487,603,748,,,116,261
7,660,675,795,736,,,15,135,,
7,,,,534,603,663,,,69,129
7,340,485,865,646,,,145,525,,
7,165,,250,268,,,,85,,
7,510,550,605,788,,,40,95,,
7,,,,625,615,822,,,-10,197
7,,,,654,665,876,,,11,222
7,,,,512,490,395,,,-22,-117
7,,,,156,146,409,,,-10,253
8,485,580,695,,,,95,210,,
8,,,,629,706,578,,,77,-51
8,,,,835,929,840,,,94,5
8,585,700,580,,,,115,-5,,
8,,,,658,682,618,,,24,-40
8,,,,753,597,451,,,-156,-302
8,555,535,770,,,,-20,215,,
8,425,405,,,,,-20,,,
8,,,,809,775,639,,,-34,-170
8,,,,536,735,741,,,199,205
6,,,,683,600,461,,,-83,-222
6,405,255,160,396,,,-150,-245,,
6,,,,306,410,663,,,104,357
6,,,,485,508,845,,,23,360
6,360,325,445,420,,,-35,85,,
6,,,,756,,887,,,,131
6,,,,568,520,526,,,-48,-42
6,405,310,670,,,,-95,265,,
6,420,805,570,352,,,385,150,,
6,515,350,595,761,,,-165,80,,
8,,,,781,812,901,,,31,120
8,385,,230,705,,,,-155,,
8,,,,390,,707,,,,317
8,,,,653,719,534,,,66,-119
8,340,335,-180,40,,,-5,-520,,
8,175,465,530,215,,,290,355,,
8,155,,,0,,0,,,,0
8,,,,234,504,458,,,270,224
8,,,,340,336,,,,-4,
8,510,,720,776,,,,210,,
8,790,865,550,510,,,75,-240,,
7,500,625,605,565,,,125,105,,
7,545,470,680,523,,,-75,135,,
7,,,,745,592,814,,,-153,69
7,210,580,585,780,,,370,375,,
7,585,,,226,,720,,,,494
7,,,,674,596,458,,,-78,-216
7,370,400,460,702,,,30,90,,
7,,,,871,,768,,,,-103
7,445,455,500,598,,,10,55,,
7,340,,,520,,663,,,,143
7,,,,533,541,394,,,8,-139
9,305,375,,,,,70,,,
9,575,585,,,,,10,,,
10,425,400,,,,,-25,,,
9,,,,353,448,406,,,95,53
9,660,735,,,,,75,,,
9,260,255,530,,,,-5,270,,
9,525,,540,,,,,15,,
9,785,810,860,716,,,25,75,,
9,560,810,965,740,,,250,405,,
9,100,400,455,,,,300,355,,
9,,,,962,926,933,,,-36,-29
9,,,,795,949,835,,,154,40
9,595,,,787,878,935,,,91,148
9,555,,,349,532,628,,,183,279
9,350,,,521,670,907,,,149,386
9,945,1110,1045,,,,165,100,,
9,600,705,760,,,,105,160,,
9,460,735,800,,,,275,340,,
9,695,635,705,,,,-60,10,,
9,,,,755,839,900,,,84,145
9,,,,807,910,935,,,103,128
9,855,,830,1054,,,,-25,,
9,830,760,860,,,,-70,30,,
9,675,,,546,726,644,,,180,98
9,,,,579,825,888,,,246,309
9,585,660,585,,,,75,0,,
9,675,950,875,,,,275,200,,
9,700,,,609,670,718,,,61,109
9,755,,,385,383,445,,,-2,60
9,740,670,790,,,,-70,50,,
9,560,645,575,,,,85,15,,
9,725,825,740,882,,,100,15,,
9,735,,,869,893,854,,,24,-15
9,840,,,664,782,780,,,118,116
9,,,,533,620,667,,,87,134
9,460,,,626,710,789,,,84,163
9,515,385,605,437,,,-130,90,,
9,,,,918,864,836,,,-54,-82
9,725,965,1000,,,,240,275,,
9,650,,,474,542,782,,,68,308
9,490,645,790,,,,155,300,,
9,,,,868,904,858,,,36,-10
9,770,840,985,807,,,70,215,,
9,,,,574,532,500,,,-42,-74
9,300,690,980,818,,,390,680,,
9,845,,,578,796,874,,,218,296
9,655,680,785,,,,25,130,,
9,,,,980,981,1051,,,1,71
9,545,780,605,449,,,235,60,,
9,,,,510,676,987,,,166,477
9,,,,585,644,698,,,59,113
9,410,550,625,425,,,140,215,,
9,475,,,409,516,551,,,107,142
9,560,555,700,,,,-5,140,,
9,860,,,908,919,880,,,11,-28
9,575,,,658,728,757,,,70,99
9,845,670,690,,,,-175,-155,,
9,460,400,500,319,,,-60,40,,
9,905,500,735,,,,-405,-170,,
9,550,,,696,770,815,,,74,119
9,615,,,653,674,824,,,21,171
9,,,,522,701,657,,,179,135
10,930,605,330,731,,,-325,-600,,
9,715,920,830,919,,,205,115,,
9,,,,31,160,186,,,129,155
9,495,380,735,1109,,,-115,240,,
9,350,480,595,,,,130,245,,
9,125,340,,590,532,394,215,,-58,-196
9,485,360,,501,335,507,-125,,-166,6
9,,,,30,18,139,,,-12,109
9,,,,968,993,,,,25,
9,,,,864,,821,,,,-43
9,540,570,,555,,,30,,,
9,,,,650,723,798,,,73,148
9,365,,,831,,848,,,,17
9,170,430,,824,,,260,,,
9,285,,,407,533,,,,126,
9,,,,893,1101,1207,,,208,314
9,,,,548,513,537,,,-35,-11
9,,,,192,269,,,,77,
9,,,,898,945,999,,,47,101
9,590,,,891,,1018,,,,127
9,560,,,457,596,651,,,139,194
9,,,,885,953,1068,,,68,183
9,,,,844,851,956,,,7,112
9,550,705,755,860,,1007,155,205,,147
9,,,,654,528,635,,,-126,-19
9,515,425,675,50,,,-90,160,,
9,,,,371,497,476,,,126,105
9,,,,522,523,765,,,1,243
9,430,495,480,803,832,,65,50,29,
9,625,,620,1084,875,846,,-5,-209,-238
9,,,,697,349,373,,,-348,-324
9,775,865,930,1131,1088,1181,90,155,-43,50
9,,,,783,738,673,,,-45,-110
9,485,750,810,836,,900,265,325,,64
9,525,640,670,671,632,661,115,145,-39,-10
9,110,290,305,538,731,719,180,195,193,181
9,490,510,655,956,,910,20,165,,-46
9,,,,820,911,1016,,,91,196
9,,,,864,1325,1163,,,461,299
9,,,,706,715,818,,,9,112
9,,,,615,784,855,,,169,240
9,775,620,695,1059,,1105,-155,-80,,46
9,,,,808,951,988,,,143,180
9,425,,,532,498,329,,,-34,-203
9,,,,717,784,703,,,67,-14
9,175,,,552,587,635,,,35,83
9,,,,769,978,1056,,,209,287
9,,,,986,1050,938,,,64,-48
9,,,,849,900,1065,,,51,216
10,580,,725,199,,,,145,,
9,245,10,155,0,,,-235,-90,,
9,530,305,690,764,492,489,-225,160,-272,-275
9,265,280,405,775,888,800,15,140,113,25
9,620,,465,0,,,,-155,,
9,,,,427,606,623,,,179,196
9,590,365,490,671,856,821,-225,-100,185,150
9,,,,917,862,920,,,-55,3
9,,,,568,588,610,,,20,42
9,535,545,505,1259,1135,1195,10,-30,-124,-64
9,420,380,,979,880,910,-40,,-99,-69
9,335,455,525,758,856,922,120,190,98,164
9,705,845,840,989,1025,1032,140,135,36,43
9,405,690,615,718,649,,285,210,-69,
9,,,,290,602,756,,,312,466
9,360,690,625,888,1000,1067,330,265,112,179
9,855,835,935,744,863,982,-20,80,119,238
9,,,,805,878,865,,,73,60
9,,,,644,529,681,,,-115,37
9,,,,867,894,908,,,27,41
9,,,,137,195,455,,,58,318
9,,,,565,887,953,,,322,388
9,365,720,740,569,,794,355,375,,225
9,365,180,535,724,,709,-185,170,,-15
9,320,765,440,812,,1072,445,120,,260
9,530,515,580,687,637,733,-15,50,-50,46
9,,,,542,465,511,,,-77,-31
9,535,590,450,737,892,962,55,-85,155,225
9,400,695,690,784,,626,295,290,,-158
9,,,,835,894,870,,,59,35
9,,,,460,590,640,,,130,180
9,,,,911,973,1025,,,62,114
9,440,450,525,827,750,794,10,85,-77,-33
9,765,1030,980,1174,1107,1178,265,215,-67,4
9,,,,914,993,1013,,,79,99
9,845,605,910,836,962,1069,-240,65,126,233
9,,,,773,1085,967,,,312,194
9,,,,696,616,654,,,-80,-42
9,,,,876,928,912,,,52,36
9,770,500,685,633,,544,-270,-85,,-89
9,,,,520,526,721,,,6,201
9,,,,983,993,1047,,,10,64
9,305,425,555,537,624,733,120,250,87,196
9,605,680,675,902,860,834,75,70,-42,-68
9,635,455,440,736,655,793,-180,-195,-81,57
9,260,330,325,351,,,70,65,,
9,660,830,825,519,624,576,170,165,105,57
9,390,495,760,807,792,823,105,370,-15,16
9,525,230,505,811,687,640,-295,-20,-124,-171
9,,,,864,876,940,,,12,76
9,,,,719,760,811,,,41,92
9,,,,666,760,,,,94,
9,610,760,,528,611,681,150,,83,153
9,,,,981,1162,1069,,,181,88
9,,,,884,1004,1093,,,120,209
9,,,,567,802,848,,,235,281
9,,,,1026,1037,1140,,,11,114
