Grade,MI Baseline,MI Follow Up 1,MI Follow Up 2,RI Baseline,RI Follow Up 1,RI Follow Up 2,MI Imp 1 to 2,MI Imp 1 to 3,RI Imp 1 to 2,RI Imp 1 to 3
5,320,235,,431,,,-85,,,
5,510,540,,623,,,30,,,
5,235,520,,472,,,285,,,
5,-90,,,308,487,,,,179,
5,360,,,540,731,,,,191,
5,595,,,474,508,,,,34,
5,355,,,512,578,,,,66,
5,690,,,564,621,,,,57,
4,270,595,630,648,,,325,360,,
4,335,,,378,409,503,,,31,125
4,430,,,342,607,,,,265,
4,395,,,318,292,508,,,-26,190
4,305,605,670,779,,,300,365,,
4,460,,,421,623,692,,,202,271
4,285,510,640,442,,,225,355,,
4,440,,,266,323,598,,,57,332
4,380,285,560,539,,,-95,180,,
4,330,,,178,424,425,,,246,247
4,365,465,710,437,,,100,345,,
4,-75,145,-40,0,,,220,35,,
4,450,,,241,451,530,,,210,289
4,350,,,349,340,495,,,-9,146
4,535,,,332,488,395,,,156,63
4,390,640,940,0,,,250,550,,
3,380,,,196,151,276,,,-45,80
3,365,,,266,207,349,,,-59,83
3,320,,,298,347,465,,,49,167
3,220,,,0,274,319,,,274,319
3,295,,,285,484,471,,,199,186
3,425,400,595,276,,,-25,170,,
3,400,400,590,374,,,0,190,,
3,320,,,192,261,,,,69,
3,290,485,395,360,,,195,105,,
3,230,275,280,86,,,45,50,,
3,340,385,480,143,,,45,140,,
3,260,,,253,279,323,,,26,70
3,525,,,258,239,417,,,-19,159
3,410,,,132,220,365,,,88,233
3,295,,,66,53,191,,,-13,125
3,355,,,259,454,373,,,195,114
3,80,,,259,320,422,,,61,163
3,320,270,560,0,,,-50,240,,
3,290,320,270,0,,,30,-20,,
3,325,310,220,215,,,-15,-105,,
3,375,235,340,71,,,-140,-35,,
3,280,305,495,44,,,25,215,,
3,245,,,115,257,294,,,142,179
3,280,,,333,594,794,,,261,461
3,-45,460,590,0,,,505,635,,
3,480,,,430,674,812,,,244,382
3,290,,,23,243,475,,,220,452
3,355,,,199,520,768,,,321,569
3,440,310,575,272,,,-130,135,,
3,445,,,285,419,572,,,134,287
3,255,385,740,391,,,130,485,,
3,260,250,735,0,,,-10,475,,
3,-90,225,420,0,,,315,510,,
5,395,265,690,663,,,-130,295,,
5,285,,,391,371,563,,,-20,172
5,410,150,460,209,,,-260,50,,
5,490,,,453,511,676,,,58,223
5,280,170,475,247,,,-110,195,,
5,345,,,431,297,437,,,-134,6
5,530,,,366,298,343,,,-68,-23
5,280,,,345,413,507,,,68,162
5,510,565,815,580,,,55,305,,
5,245,210,605,660,,,-35,360,,
5,455,,,58,153,386,,,95,328
4,390,,,326,478,745,,,152,419
4,185,225,405,61,,,40,220,,
4,460,,,377,445,578,,,68,201
4,235,415,560,528,,,180,325,,
4,490,,,279,416,383,,,137,104
4,455,,,353,491,554,,,138,201
4,245,430,585,0,,,185,340,,
4,295,,,360,367,482,,,7,122
4,320,275,630,306,,,-45,310,,
4,190,,,216,249,334,,,33,118
4,180,310,395,0,,,130,215,,
5,-5,,,339,603,,,,264,
5,,,,234,234,277,,,0,43
5,-90,,,181,270,318,,,89,137
5,415,550,760,0,,,135,345,,
5,310,450,410,218,,,140,100,,
5,445,395,310,234,,,-50,-135,,
5,,,,447,490,465,,,43,18
5,380,275,300,0,,,-105,-80,,
5,310,310,290,0,,,0,-20,,
5,430,,,319,356,473,,,37,154
5,60,,,378,528,529,,,150,151
5,190,,,383,423,499,,,40,116
4,385,,,365,424,459,,,59,94
4,285,630,830,666,,,345,545,,
4,285,205,410,509,,,-80,125,,
4,465,,,476,530,654,,,54,178
4,490,,,502,625,875,,,123,373
4,270,280,385,322,,,10,115,,
4,190,145,285,0,,,-45,95,,
4,315,360,540,616,,,45,225,,
4,485,,,409,406,351,,,-3,-58
4,150,,,0,213,254,,,213,254
4,360,,,420,480,475,,,60,55
4,-10,,,353,485,486,,,132,133
4,235,,,423,420,494,,,-3,71
4,-25,,180,,,,,205,,
4,490,280,345,462,,,-210,-145,,
4,305,,,346,447,570,,,101,224
3,-125,35,360,0,,,160,485,,
3,-5,,,265,352,465,,,87,200
3,210,515,605,520,,,305,395,,
3,55,400,740,278,,,345,685,,
3,210,530,640,697,,,320,430,,
3,20,,,119,106,359,,,-13,240
3,60,,,65,123,316,,,58,251
3,160,,,410,471,496,,,61,86
3,170,,,324,298,417,,,-26,93
3,210,515,600,407,,,305,390,,
3,265,,,235,267,528,,,32,293
6,,,,401,318,521,,,-83,120
6,540,,,531,520,367,,,-11,-164
6,660,905,845,860,,,245,185,,
6,375,290,570,703,,,-85,195,,
6,-20,,,491,313,427,,,-178,-64
6,510,,,552,526,710,,,-26,158
6,,,,496,541,403,,,45,-93
6,135,385,310,664,,815,250,175,,151
6,360,575,665,731,,,215,305,,
6,240,,,680,765,837,,,85,157
6,505,630,675,756,,,125,170,,
3,370,520,635,677,,,150,265,,
